"";"study";"condition_arm1";"condition_arm2";"descr_arm1";"descr_arm2";"multi_arm1";"multi_arm2";".g";".g_se";"primary_calc";"outcome_type";"outcome_domain";"time";"time_weeks";"instrument";"rating";"mean_arm1";"mean_arm2";"sd_arm1";"sd_arm2";"n_arm1";"n_arm2";"bl_mean_arm1";"bl_sd_arm1";"bl_n_arm1";"bl_mean_arm2";"bl_sd_arm2";"bl_n_arm2";"dich";"dich_type";"event_arm1";"event_arm2";"totaln_arm1";"totaln_arm2";"change";"mean_change_arm1";"mean_change_arm2";"sd_change_arm1";"sd_change_arm2";"n_change_arm1";"n_change_arm2";"other_statistic";"precalc_g";"precalc_g_se";"rand_arm1";"rand_arm2";"n_drop_study1";"n_drop_study2";"n_drop_treat1";"n_drop_treat2";"def_drop_treat";"year";"comorbid_mental";"comorbid_physical";"format_unguided";"commericial";"program_name";"support_unguided";"initial_screening";"forum_unguided";"n_sessions_planned";"n_sessions_received";"country";"income_level";"age_group";"mean_age";"percent_women";"recruitment";"diagnosis";"target_group";"sg";"ac";"ba";"itt";"rob";"domain.1";"domain.2";"domain.3";"domain.4";"domain.5";"overall";".id";".g_negative";".log_rr";".log_rr_se";".event_arm1";".event_arm2";".totaln_arm1";".totaln_arm2";"full_reference"
"11";"Addington, 2019";"other psy";"wl";"positive emtion skills";"wl";"other psy";"wl";0,571265782991348;0,330555086808738;1;"msd";"depression";"FU2";19;"CES-D";"self-report";25,68;32,3;11,52;11,08;26;15;"24.03";"11.12";26;"25.42";"10.99";15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26;15;"4";"0";NA;NA;NA;2019;"n";"n";"internet";"NI";"MARIGOLD";"pure";"y";"n";8;NA;"us";"high";"adul";42,16;0,655;"com";"cut";"adul";"1";"?";"sr";1;3;"Some concerns";"Low risk";"Low risk";"Low risk";"Some concerns";"Some concerns";"Addington_2019_msd_CES-D_FU2_19_self-report_otherpsy_wl_otherpsy_wl";-0,571265782991348;NA;NA;NA;NA;NA;NA;"Addington, E. L., Cheung, E. O., Bassett, S. M., Kwok, I., Schuette, S. A., Shiu, E., Yang, D., Cohn, M. A., Leykin, Y., Saslow, L. R., & Moskowitz, J. T. The MARIGOLD study: Feasibility and enhancement of an online intervention to improve emotion regulation in people with elevated depressive symptoms. J Affect Disord, 257, 352-364. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6711819/pdf/nihms-1534942.pdf"
"12";"Addington, 2019";"other psy";"other ctr";"positive emtion skills";"daily emotional report";"other psy";"other ctr";0,155209906479969;0,31237123487908;1;"msd";"depression";"FU2";19;"CES-D";"self-report";25,68;27,55;11,52;12,29;26;17;"24.03";"11.12";26;"26.41";"11";17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26;17;"4";"2";NA;NA;NA;2019;"n";"n";"internet";"NI";"MARIGOLD";"pure";"y";"n";8;NA;"us";"high";"adul";42,16;0,655;"com";"cut";"adul";"1";"?";"sr";1;3;"Some concerns";"Low risk";"Low risk";"Low risk";"Some concerns";"Some concerns";"Addington_2019_msd_CES-D_FU2_19_self-report_otherpsy_otherctr_otherpsy_otherctr";-0,155209906479969;NA;NA;NA;NA;NA;NA;"Addington, E. L., Cheung, E. O., Bassett, S. M., Kwok, I., Schuette, S. A., Shiu, E., Yang, D., Cohn, M. A., Leykin, Y., Saslow, L. R., & Moskowitz, J. T. The MARIGOLD study: Feasibility and enhancement of an online intervention to improve emotion regulation in people with elevated depressive symptoms. J Affect Disord, 257, 352-364. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6711819/pdf/nihms-1534942.pdf"
"13";"Arean, 2016";"pst";"other ctr";"iPST";"information control(daily health tips)";NA;NA;0,266596436680042;0,170463968467251;1;"remission";"depression";"post";4;"PHQ-9";"self-report";NA;NA;NA;NA;NA;NA;"13.51";"5.0999999999999996";211;"13.64";"4.9000000000000004";206;"remission";"reduction of pretreatment scores of at least 50%";36;34;79;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;211;206;"132";"106";NA;NA;NA;2016;"n";"n";"mobile";"n";"IPST";"tech";"n";"n";NA;NA;"us";"high";"adul";33,95;0,789;"com";"cut";"adul";"1";"?";"sr";1;3;"Low risk";"Low risk";"Low risk";"Low risk";"Low risk";"Low risk";"Arean_2016_remission_PHQ-9_post_4_self-report_pst_otherctr_NA_NA";-0,266596436680042;0,292880747361018;0,185826033255728;36;34;79;100;"Arean, P. A., Hallgren, K. A., Jordan, J. T., Gazzaley, A., Atkins, D. C., Heagerty, P. J., & Anguera, J. A. (2016). The use and effectiveness of mobile apps for depression: results from a fully remote clinical trial. Journal of medical Internet research, 18(12), e330. "
"14";"Bedford, 2018";"pst";"wl";NA;NA;NA;NA;2,10863864343563;0,515784702049827;1;"msd";"depression";"post";6;"PHQ-9";"self-report";3,75;14,58;5,54;4,3;12;12;"12.42";"4.3";12;"14.67";"44.3";12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12;12;"5";"0";NA;NA;NA;2018;"n";"n";"computer";"y";"ePST®";"auto";"y";"n";6;NA;"us";"high";"adul";32,7;0,21;"oth";"cut";"oth";"1";"1";"sr";1;4;"Low risk";"Low risk";"High risk";"Low risk";"Some concerns";"High risk";"Bedford_2018_msd_PHQ-9_post_6_self-report_pst_wl_NA_NA";-2,10863864343563;NA;NA;NA;NA;NA;NA;"Bedford LA, Dietch JR, Taylor DJ, Boals A, Zayfert C. Computer-Guided Problem-Solving Treatment for Depression, PTSD, and Insomnia Symptoms in Student Veterans: a Pilot Randomized Controlled Trial. Behavior therapy 2018-49(5): 756‐67."
"15";"Bedford, 2018";"pst";"wl";NA;NA;NA;NA;1,5546199365815;0,818495133637746;1;"msd";"depression";"FU1";12;"PHQ-9";"self-report";2,67;13,5;1,16;7,29;3;6;"12.42";"4.3";12;"14.67";"44.3";12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12;12;"9";"6";5;NA;"did not complete all six sessions";2018;"n";"n";"computer";"y";"ePST®";"auto";"y";"n";6;NA;"us";"high";"adul";32,7;0,21;"oth";"cut";"oth";"1";"1";"sr";1;4;"Low risk";"Low risk";"High risk";"Low risk";"Some concerns";"High risk";"Bedford_2018_msd_PHQ-9_FU1_12_self-report_pst_wl_NA_NA";-1,5546199365815;NA;NA;NA;NA;NA;NA;"Bedford LA, Dietch JR, Taylor DJ, Boals A, Zayfert C. Computer-Guided Problem-Solving Treatment for Depression, PTSD, and Insomnia Symptoms in Student Veterans: a Pilot Randomized Controlled Trial. Behavior therapy 2018-49(5): 756‐67."
"16";"Beevers, 2017";"cbt";"wl";NA;NA;NA;NA;0,814498586331099;0,124030341414025;1;"msd";"depression";"post";8;"QIDS-SR";"self-report";9,06;13,15;5,25;4,17;285;91;"15.13";"3.78";285;"15.4";"3.89";91;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;285;91;"62";"10";57;NA;"Interacted with the program for less than 1 hr";2017;"n";"n";"internet";"y";"Deprexis";"auto";"y";"n";10;"261.60 min";"us";"high";"adul";31,91;0,744;"com";"cut";"adul";"1";"1";"sr";1;3;"Low risk";"Low risk";"Some concerns";"High risk";"Low risk";"High risk";"Beevers_2017_msd_QIDS-SR_post_8_self-report_cbt_wl_NA_NA";-0,814498586331099;NA;NA;NA;NA;NA;NA;"Beevers, C., Pearson, R., Hoffman, J., Foulser, A., Shumake, J., & Meyer, B. (2017). Effectiveness of an internet intervention (Deprexis) for depression in a united states adult sample: a parallel-group pragmatic randomized controlled trial. Journal of Consulting and Clinical Psychology, 85(4), 367-380."
"17";"Beevers, 2017";"cbt";"wl";NA;NA;NA;NA;0,763279741927967;0,123594620667951;1;"msd";"depression";"post";8;"HRSD";"clinician";10,94;15,62;6,33;5,4;285;91;"16.739999999999998";"5.85";285;"16.96";"5.87";91;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;285;91;"59";"10";57;NA;"Interacted with the program for less than 1 hr";2017;"n";"n";"internet";"y";"Deprexis";"auto";"y";"n";10;"261.60 min";"us";"high";"adul";31,91;0,744;"com";"cut";"adul";"1";"1";"0";1;2;"Low risk";"Low risk";"Some concerns";"High risk";"Low risk";"High risk";"Beevers_2017_msd_HRSD_post_8_clinician_cbt_wl_NA_NA";-0,763279741927967;NA;NA;NA;NA;NA;NA;"Beevers, C., Pearson, R., Hoffman, J., Foulser, A., Shumake, J., & Meyer, B. (2017). Effectiveness of an internet intervention (Deprexis) for depression in a united states adult sample: a parallel-group pragmatic randomized controlled trial. Journal of Consulting and Clinical Psychology, 85(4), 367-380."
"18";"Beevers, 2017";"cbt";"wl";NA;NA;NA;NA;1,31490478597513;0,242024637014243;0;"response";"depression";"post";8;"QIDS-SR";"self-report";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"response";"50% or greater improvement";124;6;285;91;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;285;91;"62";"10";57;NA;"Interacted with the program for less than 1 hr";2017;"n";"n";"internet";"y";"Deprexis";"auto";"y";"n";10;"261.60 min";"us";"high";"adul";31,91;0,744;"com";"cut";"adul";"1";"1";"sr";1;3;"Low risk";"Low risk";"Some concerns";"High risk";"Low risk";"High risk";"Beevers_2017_response_QIDS-SR_post_8_self-report_cbt_wl_NA_NA";-1,31490478597513;1,88689242262518;0,400291643526146;124;6;285;91;"Beevers, C., Pearson, R., Hoffman, J., Foulser, A., Shumake, J., & Meyer, B. (2017). Effectiveness of an internet intervention (Deprexis) for depression in a united states adult sample: a parallel-group pragmatic randomized controlled trial. Journal of Consulting and Clinical Psychology, 85(4), 367-380."
"19";"Beevers, 2017";"cbt";"wl";NA;NA;NA;NA;1,11159533961437;0,242778057357797;0;"remission";"depression";"post";8;"HRSD";"clinician";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"remission based on cut-off";"HRSD < = 7";99;6;285;91;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;285;91;"59";"10";57;NA;"Interacted with the program for less than 1 hr";2017;"n";"n";"internet";"y";"Deprexis";"auto";"y";"n";10;"261.60 min";"us";"high";"adul";31,91;0,744;"com";"cut";"adul";"1";"1";"0";1;2;"Low risk";"Low risk";"Some concerns";"High risk";"Low risk";"High risk";"Beevers_2017_remission_HRSD_post_8_clinician_cbt_wl_NA_NA";-1,11159533961437;1,66173070715473;0,402827374751073;99;6;285;91;"Beevers, C., Pearson, R., Hoffman, J., Foulser, A., Shumake, J., & Meyer, B. (2017). Effectiveness of an internet intervention (Deprexis) for depression in a united states adult sample: a parallel-group pragmatic randomized controlled trial. Journal of Consulting and Clinical Psychology, 85(4), 367-380."
"20";"Berger, 2011";"cbt";"wl";NA;NA;NA;NA;0,654098954526653;0,287729396801036;1;"msd";"depression";"post";10;"BDI-II";"self-report";20,8;28,5;13,5;9,4;25;26;"29.8";"8.6";25;"29.8";"8.6";26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25;26;"3";"4";16;NA;"did not use the whole program";2011;"n";"n";"internet";"y";"Deprexis";"pure";"y";"n";10;"6.8lessons";"eu";"high";"adul";38,8;0,7;"com";"mood";"adul";"1";"1";"sr";1;4;"Low risk";"Low risk";"Some concerns";"Low risk";"Some concerns";"Some concerns";"Berger_2011_msd_BDI-II_post_10_self-report_cbt_wl_NA_NA";-0,654098954526653;NA;NA;NA;NA;NA;NA;"Berger T, Hämmerli K, Gubser N, Andersson G, Caspar F. Internet-based treatment of depression: A randomized controlled trial comparing guided with unguided self-help. Cognitive Behaviour Therapy. 2011;40(4):251-66."
"21";"Berger, 2011";"cbt";"wl";NA;NA;NA;NA;0,144242466623419;0,280485190197519;1;"msd";"depression";"FU1";24;"BDI-II";"self-report";19,4;21,08;12,9;9,9;25;26;"29.8";"8.6";25;"29.8";"8.6";26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25;26;"6";"6";NA;NA;NA;2011;"n";"n";"internet";"y";"Deprexis";"pure";"y";"n";10;NA;"eu";"high";"adul";38,8;0,7;"com";"mood";"adul";"1";"1";"sr";1;4;"Low risk";"Low risk";"Some concerns";"Low risk";"Some concerns";"Some concerns";"Berger_2011_msd_BDI-II_FU1_24_self-report_cbt_wl_NA_NA";-0,144242466623419;NA;NA;NA;NA;NA;NA;"Berger T, Hämmerli K, Gubser N, Andersson G, Caspar F. Internet-based treatment of depression: A randomized controlled trial comparing guided with unguided self-help. Cognitive Behaviour Therapy. 2011;40(4):251-66."
"22";"Berger, 2011";"cbt";"wl";NA;NA;NA;NA;0,578694920018731;0,286091164294765;1;"msd";"QoL";"post";10;"WHOQOL-BREF";"self-report";52;40,8;20,9;17,1;25;26;"41.5";"15.6";25;"38.9";"18.100000000000001";26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25;26;"3";"4";16;NA;"did not use the whole program";2011;"n";"n";"internet";"y";"Deprexis";"pure";"y";"n";10;"6.8lessons";"eu";"high";"adul";38,8;0,7;"com";"mood";"adul";"1";"1";"sr";1;4;"Low risk";"Low risk";"Some concerns";"Low risk";"Some concerns";"Some concerns";"Berger_2011_msd_WHOQOL-BREF_post_10_self-report_cbt_wl_NA_NA";0,578694920018731;NA;NA;NA;NA;NA;NA;"Berger T, Hämmerli K, Gubser N, Andersson G, Caspar F. Internet-based treatment of depression: A randomized controlled trial comparing guided with unguided self-help. Cognitive Behaviour Therapy. 2011;40(4):251-66."
